game,publisher,min_rtp,max_rtp,
Emerald's Infinity Reels,Relax Gaming,96.6,96.6,
Fantasini: Master of Mystery,Net Entertainment,96.6,96.6,
Finn and the Swirly Spin,Net Entertainment,96.6,96.6,
Firestorm,Quickspin,96.6,96.6,
Frankenstein,Net Entertainment,96.6,96.6,
Full Moon Madness,Skywind Group,96.6,96.6,
Gift Rap,Microgaming,96.6,96.6,
Golden Era,Microgaming,96.6,96.6,
Happy Holidays,Microgaming,96.6,96.6,
Humpty Dumpty,Push Gaming,96.6,96.6,
Ice and Fire,Yggdrasil Gaming,96.6,96.6,
Illuminous,Quickspin,96.6,96.6,
Joker Troupe,Push Gaming,96.6,96.6,
King Colossus,Quickspin,96.6,96.6,
Kingmaker Megaways,Big Time Gaming,96.6,96.6,
Kung Fu Monkey,Microgaming,96.6,96.6,
Medusa- Fortune and Glory,Yggdrasil Gaming,96.6,96.6,
Mega Fortune,Net Entertainment,96.6,96.6,
Mercy of the Gods,Net Entertainment,96.6,96.6,
MultiFruit 81,Play'n Go,96.6,96.6,
Mythic Maiden,Net Entertainment,96.6,96.6,
NRVNA,Net Entertainment,96.6,96.6,
Peek-a-boo,Microgaming,96.6,96.6,
Planet Exotica,Microgaming,96.6,96.6,
Playboy,Microgaming,96.6,96.6,
Pollen Nation,Microgaming,96.6,96.6,
Prissy Princess,Play'n Go,96.6,96.6,
Rabbit in the Hat,Microgaming,96.6,96.6,
Razortooth,Quickspin,96.6,96.6,
Robin Hood Feathers of Fortune,Microgaming,96.6,96.6,
Royal Feast,Microgaming,96.6,96.6,
Sea Hunter,Play'n Go,96.6,96.6,
Serenity,Microgaming,96.6,96.6,
Star Fall,Push Gaming,96.6,96.6,
Stardust,Microgaming,96.6,96.6,
Terminator 2,Microgaming,96.6,96.6,
Tesla Jolt,Nolimit City,96.6,96.6,
The Final Countdown,Big Time Gaming,96.6,96.6,
The Legend of Shangri-La,Net Entertainment,96.6,96.6,
The Three Musketeers,Quickspin,96.6,96.6,
The Wish Master,Net Entertainment,96.6,96.6,
Tiger vs Bear,Genesis Gaming,96.6,96.6,
Tomb Raider,Microgaming,96.6,96.6,
Twin Fruits,Skywind Group,96.6,96.6,
Twin Happiness,Net Entertainment,96.6,96.6,
Viking Clash,Push Gaming,96.6,96.6,
Viva Fruit Vegas,Skywind Group,96.6,96.6,
Wasabi San,Microgaming,96.6,96.6,
Wealth Spa,Microgaming,96.6,96.6,
Weekend in Vegas,Betsoft,96.6,96.6,
Who Wants to Be a Millionaire Mystery Box,Big Time Gaming,96.6,96.6,
Wild North,Play'n Go,96.6,96.6,
Wild Turkey,Net Entertainment,96.6,96.6,
Wings of Riches,Net Entertainment,96.6,96.6,
Wixx,Nolimit City,96.6,96.6,
Wooly World,Microgaming,96.6,96.6,
Dark Vortex,Yggdrasil Gaming,96.5,97.0,
2 Gods Zeus vs Thor,Yggdrasil Gaming,96.5,96.5,
A Night in Paris,Betsoft,96.5,96.5,
Abra-Kebab-Ra,Microgaming,96.5,96.5,
Angel's Touch,Amaya Gaming,96.5,96.5,
Apocalypse Cow,Microgaming,96.5,96.5,
Atomic 8s,Microgaming,96.5,96.5,
Basketball Star,Microgaming,96.5,96.5,
Beautiful Bones,Microgaming,96.5,96.5,
Big Chef,Microgaming,96.5,96.5,
Bikini Party,Microgaming,96.5,96.5,
Bill & Ted's Excellent Adventure,Microgaming,96.5,96.5,
Bingo Bango Boom,Microgaming,96.5,96.5,
Birds,Betsoft,96.5,96.5,
Bob's Coffee Shop,BGaming,96.5,96.5,
Booty Time,Genesis Gaming,96.5,96.5,
Buffet Bonanza,Microgaming,96.5,96.5,
Cash n Curry,Microgaming,96.5,96.5,
Castle Builder,Rabcat,96.5,96.5,
Champion of the Track,Net Entertainment,96.5,96.5,
Cloud Quest,Play'n Go,96.5,96.5,
Coins of Fortune,Nolimit City,96.5,96.5,
Cool Wolf,Microgaming,96.5,96.5,
Cosmic Cat,Microgaming,96.5,96.5,
Creature from the Black Lagoon,Net Entertainment,96.5,96.5,
Cyberslot Megaclusters,Big Time Gaming,96.5,96.5,
Diamond Dogs,Net Entertainment,96.5,96.5,
Diamonds of Fortune,Mazooma,96.5,96.5,
Dolphin Coast,Microgaming,96.5,96.5,
Donuts,Big Time Gaming,96.5,96.5,
Dr Watts Up,Microgaming,96.5,96.5,
Dragon Dance,Microgaming,96.5,96.5,
Dragon Lady,Microgaming,96.5,96.5,
Dubya Money,Microgaming,96.5,96.5,
E.T. Lost Socks,Evoplay Entertainment,96.5,96.5,
Eagle's Wings,Microgaming,96.5,96.5,
EggOMatic,Net Entertainment,96.5,96.5,
El Dorado Infinity Reels,Yggdrasil Gaming,96.5,96.5,
Event Horizon,Betsoft,96.5,96.5,
Fairytale Legends: Mirror Mirror,Net Entertainment,96.5,96.5,
Fat Lady Sings,Microgaming,96.5,96.5,
Fish Party,Microgaming,96.5,96.5,
Flight Zone,Microgaming,96.5,96.5,
Fortune Finder,Microgaming,96.5,96.5,
Frozen Diamonds,Rabcat,96.5,96.5,
Game on,Microgaming,96.5,96.5,
Girls With Guns,Microgaming,96.5,96.5,
Gold Factory,Microgaming,96.5,96.5,
Golden Legend,Play'n Go,96.5,96.5,
Grim Muerto,Play'n Go,96.5,96.5,
Happy Halloween,Play'n Go,96.5,96.5,
Hellboy,Microgaming,96.5,96.5,
Hidden Valley,Quickspin,96.5,96.5,
HipHopOpotamus,Microgaming,96.5,96.5,
Holiday Season,Play'n Go,96.5,96.5,
Hugo 2,Play'n Go,96.5,96.5,
Immortal Guild,Push Gaming,96.5,96.5,
Jade Magician,Play'n Go,96.5,96.5,
Jason and the Golden Fleece,Microgaming,96.5,96.5,
Jewel Blast,Quickspin,96.5,96.5,
Jewels of the Orient,Microgaming,96.5,96.5,
Jingle Jackpot,Mazooma,96.5,96.5,
Jingle Spin,Net Entertainment,96.5,96.5,
Joker 8000,Microgaming,96.5,96.5,
Jungle Games,Net Entertainment,96.5,96.5,
Jungle Spirit: Call of the Wild,Net Entertainment,96.5,96.5,
Jurassic Island,Ash Gaming,96.5,96.5,
Jurassic Island,BGO Studios,96.5,96.5,
Jurassic Party,Relax Gaming,96.5,96.5,
Just Vegas,Cryptologic,96.5,96.5,
Karate Pig,Microgaming,96.5,96.5,
Kitty Cabana,Microgaming,96.5,96.5,
Leagues of Fortune,Microgaming,96.5,96.5,
