game,publisher,min_rtp,max_rtp,default_rtp
Mega Moolah Goddess Slot Demo and Review | Microgaming,Games Global,93.3,93.3,
Monster Mania,Games Global,95.56,95.56,
Mystic Dreams,Games Global,96.06,96.06,
Octopays,Games Global,96.23,96.23,
Old King Cole,Games Global,96.15,96.15,
Paradise Found,Games Global,95.7,95.7,
Peek-a-Boo,Games Global,96.59,96.59,
Penguin Splash,Rabcat,94.96,94.96,
Phantom Cash,Games Global,96.41,96.41,
Pistoleras,Games Global,95.6,95.6,
Playboy,Games Global,96.57,96.57,
Pollen Nation,Games Global,96.62,96.62,
Pure Platinum,Games Global,96.49,96.49,
Rabbit In The Hat,Games Global,96.61,96.61,
Racing For Pinks,Games Global,96.42,96.42,
Red Hot Devil,Games Global,95.65,95.65,
Reel Gems,Games Global,96.52,96.52,
Reel Strike,Games Global,95.01,95.01,
Retro Reels,Games Global,96.02,96.02,
Retro Reels: Diamond Glitz,Games Global,96.47,96.47,
Retro Reels: Extreme Heat,Games Global,97.5,97.5,
Riviera Riches,Games Global,96.51,96.51,
Robo Jack,Games Global,94.26,94.26,
Rugby Star,Games Global,96.52,96.52,
Santa Paws,Games Global,96.52,96.52,
Santa's Wild Ride,Games Global,96.47,96.47,
Scary Friends,Rabcat,95.47,95.47,
Scrooge (Microgaming),Games Global,96.74,96.74,
Serenity,Games Global,96.56,96.56,
Shoot!,Games Global,96.54,96.54,
Silver Fang,Games Global,96.3,96.3,
Skull Duggery,Games Global,95.8,95.8,
So Many Monsters,Games Global,96.22,96.22,
So Much Candy,Games Global,96.22,96.22,
So Much Sushi,Games Global,96.22,96.22,
Spring Break,Games Global,96.1,96.1,
Star Dust (Microgaming),Games Global,96.59,96.59,
Starlight Kiss,Games Global,96.52,96.52,
Starscape,Games Global,95.85,95.85,
Stash of the Titans,Games Global,95.07,95.07,
Sweet Harvest (Games Global),Games Global,96.29,96.29,
Tally Ho,Games Global,95.87,95.87,
Terminator 2,Games Global,96.62,96.62,
The Dark Knight Rises (Microgaming),Games Global,96.43,96.43,
The Finer Reels of Life,Games Global,96.47,96.47,
Secret Santa,Games Global,96.32,96.32,
The Rat Pack,Games Global,96.14,96.14,
The Osbournes,Games Global,95.89,95.89,
Throne of Egypt,Games Global,96.41,96.41,
Thunderstruck,Games Global,96.1,96.1,
Thunderstruck 2 Slot Review & Free Online Demo,Games Global,96.65,96.65,
Tiger's Eye (Games Global),Games Global,96.26,96.26,
Titans of the Sun Hyperion,Games Global,96.71,96.71,
Titans of the Sun Theia,Games Global,96.67,96.67,
Tomb Raider,Games Global,95.22,95.22,
Tomb Raider Secret of the Sword,Games Global,95.23,95.23,
The Twisted Circus,Games Global,96.36,96.36,
Untamed Bengal Tiger,Games Global,96.2,96.2,
Untamed Crowned Eagle,Games Global,96.32,96.32,
Untamed Giant Panda,Games Global,96.4,96.4,
Untamed Wolf Pack,Games Global,96.17,96.17,
Vinyl Countdown,Games Global,95.56,95.56,
What a Hoot,Games Global,96.94,96.94,
Wheel of Wealth,Games Global,96.04,96.04,
Wild Catch (Microgaming),Games Global,95.52,95.52,
Win Spinner,Games Global,96.0,96.0,
Winning Wizards,Games Global,95.46,95.46,
Apollo Rising,IGT,94.0,94.0,
Black Widow,IGT,94.0,94.0,
Bubble Craze,IGT,94.0,94.0,
Cash Coaster,IGT,95.0,95.0,
Cats,IGT,94.0,94.0,
Cleopatra (IGT),IGT,95.7,95.7,
Coyote Moon,IGT,93.75,93.75,
Da Vinci Diamonds,IGT,94.93,94.93,
Da Vinci Diamonds Dual Play,IGT,94.3,94.3,
Day of the Dead,IGT,93.71,93.71,
Diamond Queen,IGT,94.89,94.89,
Double Diamond,IGT,95.44,95.44,
Fire Opals,IGT,94.26,94.26,
Ghostbusters,IGT,93.5,93.5,
Golden Goddess,IGT,94.75,94.75,
Grand Monarch,IGT,93.99,93.99,
In Bloom,IGT,94.02,94.02,
Jeopardy!,IGT,93.6,93.6,
Kitty Glitter,IGT,94.21,94.21,
Lucky Larry's Lobstermania 2,IGT,94.14,94.14,
Mayan Riches,IGT,93.74,93.74,
Miss Red,IGT,93.98,93.98,
Noah's Ark (IGT),IGT,94.08,94.08,
Nouveau Riche,IGT,94.71,94.71,
Pharaoh's Fortune Slot Demo and Review | IGT,IGT,94.52,94.52,
Pixies of the Forest,IGT,93.95,93.95,
Prowling Panther,IGT,94.09,94.09,
Red Mansions,IGT,93.56,93.56,
She's a Rich Girl,IGT,94.35,94.35,
Siberian Storm,IGT,94.91,94.91,
Stinkin Rich (IGT),IGT,94.38,94.38,
Super Times Pay,IGT,95.0,95.0,
"The 100,000 Pyramid",IGT,93.9,93.9,
Treasures of Troy,IGT,93.56,93.56,
Triple Diamond,IGT,95.06,95.06,
"Vegas, Baby!",IGT,95.02,95.02,
Water Dragons,IGT,94.21,94.21,
Western Belles,IGT,94.59,94.59,
Wheel of Fortune Triple Extreme Spin,IGT,94.04,94.04,
White Orchid,IGT,92.9,92.9,
Wild Wolf (IGT),IGT,93.98,93.98,
Wolf Rising,IGT,94.71,94.71,
Wolf Run,IGT,94.98,94.98,
Taco Brothers,ELK Studios,96.3,96.3,
