game,publisher,min_rtp,max_rtp,default_rtp
Snowmania,Realtime Gaming,91.0,97.5,
Stardust,Realtime Gaming,91.0,97.5,
Storm Lords,Realtime Gaming,91.0,97.5,
Super 6,Realtime Gaming,91.0,97.5,
Sweet 16,Realtime Gaming,91.0,97.5,
Swindle All The Way,Realtime Gaming,91.0,97.5,
T-Rex,Realtime Gaming,91.0,97.5,
T-Rex 2,Realtime Gaming,91.0,97.5,
Texan Tycoon,Realtime Gaming,91.0,97.5,
The Big Bopper,Realtime Gaming,91.0,97.5,
The Mariachi 5,Realtime Gaming,91.0,97.5,
The Naughty List,Realtime Gaming,91.0,97.5,
The Three Stooges Brideless Groom,Realtime Gaming,91.0,97.5,
Three Kingdom Wars,Realtime Gaming,91.0,97.5,
Trigger Happy,Realtime Gaming,91.0,97.5,
Triple Twister,Realtime Gaming,91.0,97.5,
Voodoo Magic,Realtime Gaming,91.0,97.5,
Witch's Brew,Realtime Gaming,91.0,97.5,
Wu Zetian,Realtime Gaming,91.0,97.5,
Zhanshi,Realtime Gaming,91.0,97.5,
Simsalabim,NetEnt,97.5,97.5,
Retro Reels: Extreme Heat,Games Global,97.5,97.5,
Wild Orient,Games Global,97.5,97.5,
Aztec Secrets,1X2gaming,97.5,97.5,
Gods of Olympus,1X2gaming,97.5,97.5,
Super Caribbean Cashpot,1X2gaming,97.5,97.5,
Thor: Stormlord,1X2gaming,97.5,97.5,
Brittonaire,Cozy,97.5,97.5,
Diamond Monkey,Amatic Industries,97.49,97.49,
Air Force HD,Play Labs,97.49,97.49,
Freaky Fortune HD,Play Labs,97.49,97.49,
Sushi Bar,Betsoft,94.75,97.48,97.48
Wild Play SuperBet,NextGen,97.46,97.46,
Couch Potato,Games Global,97.43,97.43,
At the Copa,Betsoft,97.42,97.42,
Couch Potato,Microgaming,97.4,97.4,
High 5,Microgaming,97.4,97.4,
Jungle Boogie,Playtech,96.3,97.4,
Fantasy Island,World Match,91.9,97.4,
The Forbidden City,World Match,91.9,97.4,
Mystery 7s,iSoftBet,97.4,97.4,
8 Lucky Charms,Spinomenal,97.4,97.4,
Demi Gods,Spinomenal,97.4,97.4,
